name,website,short_description,linkedin,categories,num_employees_enum,locations,founded_on,operating_status,founders
theCre8tion,,theCre8tion provides a video editing platform for the B2B market which companies can use to crowdsource clips for various uses.,,"Digital Media, Video, Video Editing",,Asia-Pacific (APAC),1/1/2014,active,
theDOCK,,"A vertical VC firm investing in startups developing technologies for Maritime, Supply Chain, and Offshore sectors",https://www.linkedin.com/company/thedock-innovation-hub/,"Cyber Security, Financial Services, Logistics, Marine Technology, Ports and Harbors, Supply Chain Management, Venture Capital",,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",1/1/2017,active,"Hannan Carmeli, Nir Gartzman"
thePower,,ThePower is a learning institution that offers business-related courses.,https://www.linkedin.com/school/the-power,Education,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,active,
theaivc,,The world's first Venture Capital fund powered entirely by Artificial Intelligence.,,,,,,active,
thebad.company,,thebad.company empowers visionary entrepreneurs through brand acceleration.,,"B2B, Brand Marketing, Business Development",,"Greater Denver Area, Western US",1/1/2023,active,
thegrasscompany,,grass company,,,c_00051_00100,,6/3/2015,active,Brandon Johnson
tisiHRi,,tisiHRi is a biotechnology company.,https://www.linkedin.com/company/tisihri,Biotechnology,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,active,Christine Guillen
titus AG,,titus was the market leader in German-speaking Europe in the segment of skateboard/lifestyle products.,,Lifestyle,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,active,
tnt- network,,tnt- network is a television channel.,https://www.linkedin.com/company/tnt--network,"Broadcasting, Marketing, Media and Entertainment, TV",,"Europe, Middle East, and Africa (EMEA)",1/1/1998,active,
to.org,,to.org is a Civic & Social Organization.,https://www.linkedin.com/company/toorg/,,,"Europe, Middle East, and Africa (EMEA)",1/1/2012,active,Nachson Mimran
toDay.Ventures,,WE INVEST and BOOST early stage B2B Startups,https://www.linkedin.com/company/9335698,Financial Services,,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",1/1/2016,active,"Ilan Dray, Roni Nizri Geva, Shai Sum, Shay Michel"
toGather,,"Amazing meals, with amazing people.",,"Food and Beverage, Internet",,,8/1/2015,active,"Jan Birnbaum, Richard Ault"
tofuNFT,,"tofuNFT is a fully featured decentralized marketplace for buying, selling and trading NFTs.",https://www.linkedin.com/company/tofunft,"Blockchain, Cryptocurrency, Marketplace, Virtual Currency",,,10/1/2021,active,
tokentus investment AG,,tokentus is a Venture capital investor for blockchain based business models.,https://www.linkedin.com/company/tokentus,"Blockchain, Cryptocurrency, Financial Services, FinTech, Information Technology",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2019,active,"Johannes Clauss, Oliver Michel"
tokyo firm,,"tokyo firm engages in the real estate consulting, sales, and rental brokerage businesses.",,"Consulting, Real Estate, Rental",,Asia-Pacific (APAC),1/1/2013,active,
topology,,Topology is an early-stage frontier tech firm,,,,,,active,
touchscape,,UI UX Innovation,,,,,5/6/2024,active,
trEat Kft.,,It is developing a booking application.,,,,,,active,
traid,,agricultural anomaly,,,,,6/1/2019,active,
trans-o-flex Belgium BVBA,,trans-o-flex Belgium BVBA provides business to business logistic services and ships parcels and pallets.,,"Information Technology, Logistics",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2012,active,
transaction Japan,,Transaction Group has been committed to manufacturing and has provided attractive products.,,"Event Management, Hospitality, Manufacturing, Sales",,Asia-Pacific (APAC),1/19/1987,active,
trezor,,cryptocurrency wallet software product that keeps over 1000 types of cryptocurrency and other digital assets safe and secure,,,,"Europe, Middle East, and Africa (EMEA)",1/1/2013,active,
trezor,,Trezor is a hardware wallet that allows you to store your cryptocurrency offline.,https://www.linkedin.com/company/trezor,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2015,active,
triOS College,,triOS college is one of Canada’s largest career training organizations dedicated to helping students become job-ready graduates.,https://www.linkedin.com/company/trios-college,"Consulting, Education, Knowledge Management, Training",,Great Lakes,1/1/1992,active,"Frank Gerencser, Stuart Bentley"
trica,,trica's suite of SaaS products make equity management (cap table & ESOPs) and private market transactions simple and efficient,https://www.linkedin.com/company/trica/,"Financial Services, FinTech, SaaS, Software",,Asia-Pacific (APAC),6/1/2021,active,"Nimesh Kampani, Sanjay Jha"
tripJane,,"TripJane is a social travel engine that gathers prices, deals and information, and lets travelers buy and share travel services.",,"Apps, Internet, Social Media, Travel",,"San Francisco Bay Area, West Coast, Western US",,active,"Ana Baltodano, Dani Essindi Behrendt"
trive studio,,trive is a startup studio building human-centered solutions.,https://www.linkedin.com/company/trive-studio,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",12/1/2021,active,Sirlinger Martin
tropical,,Supportive community,,,c_00001_00010,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2021,active,Veroniek Vermeulen
trovo,,https://trovo.co,,,,,,active,
trust and use,,Social Marketplace for consumers,,"E-Commerce, Location Based Services",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2016,active,George Papadimitriou
tryb Group,,tryb Group invests in ASEAN fintech.,https://www.linkedin.com/company/10524500/,"Analytics, Financial Services, FinTech, Micro Lending, SaaS",,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",1/1/2016,active,"Markus Gnirck, Nels Friets, Veiverne Yuen"
tsm-Trentino School of Management,,tsm-Trentino School of Management Skills and value for the Territory,https://www.linkedin.com/company/tsm-trentino-school-of-management,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2003,active,
tsoonami,,Tsoonami has been a leader in the daily deals market in southern Europe.,https://www.linkedin.com/company/tsoonami,"Information Technology, Internet",c_00011_00050,"Europe, Middle East, and Africa (EMEA), European Union (EU), Middle East, Europe, Middle East, and Africa (EMEA)",1/1/2010,active,Ilias Louis Hatzis
tt Timber International,,"tt Timber International offers forest management services, and processes and trades forest products.",,"Forestry, Paper Manufacturing",,"Europe, Middle East, and Africa (EMEA)",1/1/1912,active,
tuesday coworking,,tuesday coworking is a network of four coworking spaces serving the Berlin area,https://www.linkedin.com/company-beta/10881240/,Coworking,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",5/10/2016,active,John Neilan
tuliper.com,,tuliper.com is a e-commerce businesses scale to 8 figures through consistent conversions and audience engagement.,https://www.linkedin.com/company/tuliper/,,,,,active,
tuwebrd.com,,Diseño y desarrollo web y software,,Software,,Latin America,2/8/2010,active,
tvg hospitality,,Venue Group is an entertainment and hospitality operator in the United Kingdom and the United States.,https://www.linkedin.com/company/venuegroup,"Hospitality, Media and Entertainment, Music",,"Europe, Middle East, and Africa (EMEA)",1/1/2016,active,Ben Lovett
tvype,,"Photo and Video platform for Citizen Journalism, incl. rights marketplace to sell to media",,"Marketplace, Video",,,,active,
twofour54,,"twofour54, an Abu Dhabi-based business incubator, offers production facilities, training, and support services to the media industry.",http://www.linkedin.com/company/283052,"Broadcasting, Film Production, Incubators",,"Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East, Middle East and North Africa (MENA)",1/1/2008,active,
twozero Ventures,,"twozero Ventures invests in Sports, Media and Entertainment Startups",https://www.linkedin.com/company/two-zero-ventures/,,,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA), Europe, Middle East, and Africa (EMEA)",1/1/2020,active,"Ali Akcay, Yigit Arslan"
u.ventures,,u.ventures invests in early stage startups that dare to build revolutionary products,https://www.linkedin.com/company/uventuresfund/,,,"Europe, Middle East, and Africa (EMEA)",9/1/2016,active,Lenna Koszarny
u2i,,u2i is a computer software company offering websites and web applications services.,https://www.linkedin.com/company/u2i,"Information Technology, Internet, Robotics, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2000,active,
uBIT,,uBIT is an investment firm.,,,,,,active,
uFlysoft,,A professional data recovery tool for Mac users,https://www.linkedin.com/in/uflysoft/,"macOS, Software, Technical Support",,"Greater San Diego Area, West Coast, Western US",,active,
uLink,,"uLink enable developing world energy service providers to quickly develop and easily manage low-cost, modular microgrids in off-grid areas.",,"Energy, Renewable Energy",,"Greater Boston Area, East Coast, New England, Northeastern US",1/1/2016,active,
uLinkNetwork,,uLinkNetwork,https://www.linkedin.com/company/ulinknetwork.com,Education,c_00001_00010,"West Coast, Western US",1/1/2010,active,
uMunthu,,A Inclusive Growth Investment Fund aims to broaden access to financial services .,,Financial Services,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2019,active,
uNav Microelectronics,,uNav Microelectronics is a semiconductor company that develops GPS ICs and software solutions for the mobile location-based services.,,"Location Based Services, Semiconductor, Software",,"Greater Los Angeles Area, West Coast, Western US",1/1/2001,active,
uPlayMe,,"Meet people, share music and enjoy discovering new entertainment using uPlayMe's free download.",,"Audio, Digital Entertainment, Music",c_00011_00050,"Greater New York Area, East Coast, Northeastern US",1/1/2006,active,
uShark,,"uShark is an online platform that offers DeFi, investment management and other financial services for other institutions.",https://www.linkedin.com/company/ushark-token/,"Financial Services, Funding Platform, Impact Investing",,Latin America,,active,Geraldo Marques
uStart,,"UStart is an application that allows users to advertise or find business opportunities, jobs, and services.",https://www.linkedin.com/company/ustart-brasil/,"Advertising, Information Services, Information Technology",c_00001_00010,Latin America,,active,
uSync investment,,The Company shall invest investments in related product categories to the Parent Company.,,"Banking, Payments, Stock Exchanges",c_00001_00010,,5/1/2017,active,Emil Sunnerberg
ubroadcast,,Online radio and TV broadcasting,,"Broadcasting, Internet, Music, News, Publishing",,,,active,
ucp morgen,,ucp morgen is a SaaS-based business focused on mobile content delivery for mobile network operators.,,"Delivery, Internet, iOS, SaaS",,,1/1/1999,active,Christian Lutz
udi angel,,"Udi Angel heads a number of communal and charitable organisations in Israel, focusing mainly on children.",https://www.linkedin.com/in/udi-angel-ba100651/?originalSubdomain=il,,,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",,active,
ufabet ฝาก-ถอน true wallet [@the88thai] ufabet ฝาก 100 ฟรี 100 เทิร์น 1 เท่า,,ufabet ฝาก-ถอน true wallet รับเครดิตฟรี 100 แอดไลน์ [@the88thai] เข้ากลุ่มไลน์ เครดิตฟรี 2022,,,,,,active,
uktimes,,"intellectual property, short videos content",,,,,,active,
umrah travel packages,,umrah travel packages is a Leisure company.,,Leisure,,,,active,
unCancer India,,unCancer India is an online platform for the cancer community which helps people fight their cancer with access to support from others.,https://www.linkedin.com/company/uncancer-india,"Communities, Fitness, Health Care, Wellness",c_00001_00010,Asia-Pacific (APAC),1/1/2012,active,Chirag Kumar
unPaved,,The Ultimate Travel Companion — Explore Destinations like never before.,,"Internet, Mobile, Tourism, Travel",c_00001_00010,"Europe, Middle East, and Africa (EMEA)",8/14/2014,active,"David Smith, Guy Nakamura, Guy Nakmura"
unbound technologies,,"UNBOUND Technologies offers a platform that allows users to identify, target and analyze social media users, communities and influencers.",,Advertising,c_00011_00050,"San Francisco Bay Area, Silicon Valley, West Coast, Western US",1/1/1999,active,Chase McMichael
uncreative,,fake marketplace,,,c_01001_05000,Asia-Pacific (APAC),6/9/2023,active,Eric Stiffy
undefined capital,,"We bring proven Fintech operator experience to early stage founders, accelerating product development and customer acquisition.",,"FinTech, Payments",,,9/1/2022,active,"David Clausen, Jonathan Cordeau"
undercover scientist software,,Undercover scientist software develop application related to medical like iLoo,,"Health Care, Software",,,,active,
unflat studio,,"Unflat Studio is a design services company that combines design, technology, and art.",https://www.linkedin.com/company/unflat/,,c_00001_00010,Latin America,1/1/2024,active,Pedro Cormann
unicorn-verse,,Unicorn-Verse is a blockchain marketing consultancy firm.,,"Blockchain, Consulting, Marketing",,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,active,
universidad politécnica del estado de guerrero,,The Polytechnic University of the State of Guerrero arises as a result of historical social expectations and desires.,https://www.linkedin.com/company/upeg,Higher Education,,Latin America,9/9/2009,active,
universidad politécnica metropolitana de hidalgo,,universidad politécnica metropolitana de hidalgo is a non profit private school.,https://www.linkedin.com/school/upmh/,"E-Learning, Education, Higher Education",,Latin America,1/1/2008,active,
universidade federal do pampa,,universidade federal do pampa is a public university.,https://www.linkedin.com/company/universidade-federal-do-pampa/,Education,,Latin America,,active,
university of kashan,,"university of kashan provides many different fields including engineering, physics, mathematics, chemistry, art, and humanities.",https://www.linkedin.com/company/university-of-kashan,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,active,
unknown,,unknown,,,c_00001_00010,,,active,Ben Lówry
unknown,,unknown,,,,,,active,
unnamed,,site closed,,"E-Commerce, Pet",c_00001_00010,"European Union (EU), Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",12/12/2012,active,
upLect,,UpLect is an education platform that enables the user to hone their abilities and be smart.,https://www.linkedin.com/company/uplect,,,,1/1/2021,active,"Ariful Islam Khan, Rahaman Bin Ujit"
uphold uk,,uphold customer service uk,https://www.linkedin.com/company/upholdinc,,,"Europe, Middle East, and Africa (EMEA)",1/1/2013,active,
urlGray,,UrlGray is a mobile app developer. He is a Geeky programmer and creator who creates apps for iOS users . Some of his apps are Whaddaya kno,,"Apps, iOS, Mobile Apps",,,,active,
urlShort,,Just another URL shortener.,,"Apps, Information Technology",c_00001_00010,,,active,
usa jobs gov,,USA Jobs gov is the official job site of the US Federal Government. It serves as a search and apply for federal jobs quick and easy,,,c_00001_00010,,8/22/2017,active,
usednet,,usednet is an internet based company.,,"Cloud Computing, Cloud Data Services, Internet of Things",,Asia-Pacific (APAC),4/1/2004,active,
utarget Limited,,utarget Limited develops full screen advertising solutions for the Internet advertisers in the United Kingdom and Europe.,,"Advertising, Digital Marketing, Marketing",,"Europe, Middle East, and Africa (EMEA)",,active,
v.law,,v.law is a company that offers business services.,,"Business Development, Business Intelligence",,"Washington DC Metro Area, East Coast, Southern US",1/1/2020,active,
v1.vc,,v1.vc is a seed-stage venture capital firm that invests in companies across North America.,https://www.linkedin.com/company/v1-vc,"Financial Services, FinTech, Impact Investing",,"San Francisco Bay Area, West Coast, Western US",5/1/2015,active,"Benny Joseph, Brett Jackson"
v3ntures,,v3ntures is an investment firm that offers venture capital to web3 technology companies.,https://www.linkedin.com/company/v3ntures,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,active,
v7 herostudio,,Content studio dedicated to entertaining & explaining the mysteries of life. 1st project: Radical Transparency: Weapon of Mass Liberation?,,"Blockchain, News, Video",c_00001_00010,,9/1/2017,active,
v7n Network,,Webmaster Forum and Resource,,"Association, Social Media",,,1/1/2002,active,
vBrokers,,"Trulia with property management, with more intelligent information Auction.com",,"Commercial Real Estate, Real Estate, Small and Medium Businesses",,,,active,Daniel Gonzalez
vEmpire,,vEmpire (VEMP) is a decentralized community-orientated metaverse accelerator and staking platform.,https://www.linkedin.com/company/vempire-ddao-ltd,,,"Europe, Middle East, and Africa (EMEA)",1/1/2021,active,
vH essentials,,"vH essentials offers product lines geared to solve everyday problems, such as protection (""Relieve""), daily support (""Maintain""), and clean.",,Women's,,,,active,
vSpring Capital,,vSpring is a traditional early-stage venture capital firm with over $350 million of committed capital under management.,https://www.linkedin.com/company/signal-peak-ventures,"Enterprise Software, Financial Services, Venture Capital",,Western US,1/1/2000,active,"Brandon Tidwell, Dinesh Patel, Greg Warnock"
vVv,,vVv - YOUR TRUSTED PARTNER IN A TRUSTLESS WORLD,https://www.linkedin.com/company/vvvexchange/,"Cryptocurrency, Finance, Venture Capital, Web3",,"Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East, Middle East and North Africa (MENA)",12/1/2021,active,Sean Marcel
vaag,,Online Luxury Rental Shopping Mall,,,,,,active,
valU,,"valU is the provider of buy-now, pay-later (BNPL) lifestyle-enabling fintech platforms.",https://www.linkedin.com/company/valuegypt,"Financial Services, FinTech",,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA), North Africa, Europe, Middle East, and Africa (EMEA)",1/1/2017,active,"Ahmed Hashem, Ahmed Osama, Walid Hassouna"
valantic,,"valantic is your ""high-end"" consulting & solutions partner for digital transformation - from strategy to tangible realization.",https://www.linkedin.com/company/valantic,"Consulting, Data Management, Enterprise Resource Planning (ERP), Information Technology, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/1997,active,Holger von Daniels
valley road capital,,"Established in Switzerland since 2006, ValleyRoad Capital SA is an independent Corporate Finance firm catering to family",https://www.linkedin.com/company/valleyroad-capital-sa,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1/1/2006,active,
valuedesign,,ValuecardASP is a Service for Promotional Support Tools.,https://www.linkedin.com/company/valuedesign-india,"Marketing, SNS, Task Management",,Asia-Pacific (APAC),7/26/2006,active,
vanity drinks,,vanity drinks is created & designed to capture the young new champagne drinking consumers.,,Wine And Spirits,,"Europe, Middle East, and Africa (EMEA)",1/1/2014,active,Alan Colton
velocity capital,,velocity capital is an investment firm.,,,,,,active,
venBio Partners,,VenBio is a life sciences investment firm that partners with industry leaders to build medicines and technologies.,https://www.linkedin.com/company/venbio-partners,"Business Development, Financial Services, Life Science, Venture Capital",,"San Francisco Bay Area, West Coast, Western US",1/1/2009,active,"Corey Goodman, Kurt von Emster, Robert Adelman"
venBio Select Advisor,,venBio Select Advisor LLC is an investment manager for venBio,,,,"Greater New York Area, East Coast, Northeastern US",,active,
venVelo,,venVelo is a venture fund and business accelerator that is focused on early-stage opportunities.,https://www.linkedin.com/company/venvelo,"Finance, Financial Services, Venture Capital",,"East Coast, Southern US",1/1/2012,active,Peter McAlindon
